2025-02-04 16:46:22 status half-installed libgcc-12-dev:amd64 12.2.0-14
2025-02-04 16:46:22 status unpacked libgcc-12-dev:amd64 12.2.0-14
2025-02-04 16:46:22 install gcc-12:amd64 <none> 12.2.0-14
2025-02-04 16:46:22 status half-installed gcc-12:amd64 12.2.0-14
2025-02-04 16:46:23 status unpacked gcc-12:amd64 12.2.0-14
2025-02-04 16:46:23 install gcc:amd64 <none> 4:12.2.0-3
2025-02-04 16:46:23 status half-installed gcc:amd64 4:12.2.0-3
2025-02-04 16:46:23 status unpacked gcc:amd64 4:12.2.0-3
2025-02-04 16:46:23 install libc-dev-bin:amd64 <none> 2.36-9+deb12u9
2025-02-04 16:46:23 status half-installed libc-dev-bin:amd64 2.36-9+deb12u9
2025-02-04 16:46:23 status unpacked libc-dev-bin:amd64 2.36-9+deb12u9
2025-02-04 16:46:23 install linux-libc-dev:amd64 <none> 6.1.124-1
2025-02-04 16:46:23 status half-installed linux-libc-dev:amd64 6.1.124-1
2025-02-04 16:46:23 status unpacked linux-libc-dev:amd64 6.1.124-1
2025-02-04 16:46:23 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2025-02-04 16:46:23 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2025-02-04 16:46:23 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2025-02-04 16:46:23 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2025-02-04 16:46:23 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2025-02-04 16:46:23 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 install libkeyutils1:amd64 <none> 1.6.3-2
2025-02-04 16:46:23 status half-installed libkeyutils1:amd64 1.6.3-2
2025-02-04 16:46:23 status unpacked libkeyutils1:amd64 1.6.3-2
2025-02-04 16:46:23 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2025-02-04 16:46:23 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
